date	close
02-01-2016	36
03-01-2016	22
04-01-2016	36
05-01-2016	39
06-01-2016	34
07-01-2016	38
08-01-2016	50
09-01-2016	60
10-01-2016	51
11-01-2016	64
12-01-2016	63
13-01-2016	52
14-01-2016	64
15-01-2016	52
16-01-2016	47
17-01-2016	37
18-01-2016	71
19-01-2016	63
20-01-2016	65
21-01-2016	72
22-01-2016	74
23-01-2016	52
24-01-2016	52
25-01-2016	43
26-01-2016	54
27-01-2016	53
28-01-2016	58
29-01-2016	51
30-01-2016	23
31-01-2016	20
01-02-2016	50
02-02-2016	39
03-02-2016	37
04-02-2016	43
05-02-2016	55
06-02-2016	45
07-02-2016	47
08-02-2016	45
09-02-2016	39
10-02-2016	41
11-02-2016	46
12-02-2016	73
13-02-2016	54
14-02-2016	36
15-02-2016	33
16-02-2016	56
17-02-2016	42
18-02-2016	61
19-02-2016	61
20-02-2016	39
21-02-2016	31
22-02-2016	41
23-02-2016	45
24-02-2016	57
25-02-2016	59
26-02-2016	96
27-02-2016	81
28-02-2016	34
29-02-2016	45
01-03-2016	50
02-03-2016	49
03-03-2016	74
04-03-2016	75
05-03-2016	36
06-03-2016	41
07-03-2016	91
08-03-2016	87
09-03-2016	78
10-03-2016	32
11-03-2016	24
12-03-2016	17
13-03-2016	25
14-03-2016	59
15-03-2016	26
16-03-2016	83
17-03-2016	92
18-03-2016	61
19-03-2016	31
20-03-2016	32
21-03-2016	46
22-03-2016	50
23-03-2016	60
24-03-2016	80
25-03-2016	38
26-03-2016	45
27-03-2016	27
28-03-2016	33
29-03-2016	46
30-03-2016	75
31-03-2016	75
01-04-2016	92
02-04-2016	52
03-04-2016	79
04-04-2016	116
05-04-2016	93
06-04-2016	55
07-04-2016	56
08-04-2016	72
09-04-2016	78
10-04-2016	34
11-04-2016	46
12-04-2016	70
13-04-2016	63
14-04-2016	69
15-04-2016	65
16-04-2016	46
17-04-2016	35
18-04-2016	71
19-04-2016	33
20-04-2016	44
21-04-2016	51
22-04-2016	60
23-04-2016	26
24-04-2016	32
25-04-2016	39
26-04-2016	53
27-04-2016	49
28-04-2016	67
29-04-2016	78
30-04-2016	46
01-05-2016	32
02-05-2016	67
03-05-2016	82
04-05-2016	36
05-05-2016	50
06-05-2016	50
07-05-2016	27
08-05-2016	42
09-05-2016	39
10-05-2016	36
11-05-2016	54
12-05-2016	23
13-05-2016	50
14-05-2016	51
15-05-2016	12
16-05-2016	17
17-05-2016	35
18-05-2016	73
19-05-2016	78
20-05-2016	56
21-05-2016	55
22-05-2016	49
23-05-2016	67
24-05-2016	37
25-05-2016	30
26-05-2016	54
27-05-2016	45
28-05-2016	24
29-05-2016	18
30-05-2016	65
31-05-2016	37
01-06-2016	35
02-06-2016	58
03-06-2016	44
04-06-2016	63
05-06-2016	27
06-06-2016	32
07-06-2016	63
08-06-2016	77
09-06-2016	39
10-06-2016	34
11-06-2016	48
12-06-2016	15
13-06-2016	35
14-06-2016	45
15-06-2016	60
16-06-2016	35
17-06-2016	40
18-06-2016	37
19-06-2016	45
20-06-2016	42
21-06-2016	68
22-06-2016	69
23-06-2016	73
24-06-2016	57
25-06-2016	21
26-06-2016	54
27-06-2016	61
28-06-2016	56
29-06-2016	77
30-06-2016	62
01-07-2016	53
02-07-2016	21
03-07-2016	33
04-07-2016	77
05-07-2016	44
06-07-2016	37
07-07-2016	55
08-07-2016	53
09-07-2016	36
10-07-2016	25
11-07-2016	54
12-07-2016	45
13-07-2016	48
14-07-2016	22
15-07-2016	21
16-07-2016	34
17-07-2016	19
18-07-2016	40
19-07-2016	60
20-07-2016	31
21-07-2016	64
22-07-2016	32
23-07-2016	25
24-07-2016	28
25-07-2016	88
26-07-2016	33
27-07-2016	54
28-07-2016	50
29-07-2016	48
30-07-2016	34
31-07-2016	32
01-08-2016	31
02-08-2016	53
03-08-2016	30
04-08-2016	34
05-08-2016	48
06-08-2016	30
07-08-2016	46
08-08-2016	48
09-08-2016	31
10-08-2016	35
11-08-2016	40
12-08-2016	34
13-08-2016	16
15-08-2016	35
16-08-2016	43
17-08-2016	70
18-08-2016	56
19-08-2016	48
20-08-2016	36
21-08-2016	47
22-08-2016	39
23-08-2016	66
24-08-2016	54
25-08-2016	44
26-08-2016	66
27-08-2016	49
28-08-2016	95
29-08-2016	35
30-08-2016	69
31-08-2016	74
01-09-2016	83
02-09-2016	103
03-09-2016	75
04-09-2016	46
05-09-2016	30
06-09-2016	60
07-09-2016	88
08-09-2016	101
09-09-2016	81
10-09-2016	42
11-09-2016	33
12-09-2016	72
13-09-2016	92
14-09-2016	46
15-09-2016	48
16-09-2016	60
17-09-2016	22
18-09-2016	16
19-09-2016	23
20-09-2016	58
21-09-2016	49
22-09-2016	89
23-09-2016	90
24-09-2016	78
25-09-2016	48
26-09-2016	85
27-09-2016	101
28-09-2016	61
29-09-2016	57
30-09-2016	47
01-10-2016	42
02-10-2016	57
03-10-2016	36
04-10-2016	15
05-10-2016	23
06-10-2016	16
07-10-2016	23
08-10-2016	15
09-10-2016	40
10-10-2016	45
11-10-2016	35
12-10-2016	21
13-10-2016	25
14-10-2016	29
15-10-2016	34
16-10-2016	21
17-10-2016	30
18-10-2016	42
19-10-2016	57
20-10-2016	46
21-10-2016	40
22-10-2016	38
23-10-2016	38
24-10-2016	32
25-10-2016	37
26-10-2016	51
27-10-2016	47
28-10-2016	34
29-10-2016	26
30-10-2016	62
31-10-2016	73
01-11-2016	40
02-11-2016	41
03-11-2016	65
04-11-2016	50
05-11-2016	44
06-11-2016	49
07-11-2016	33
08-11-2016	38
09-11-2016	49
10-11-2016	40
11-11-2016	54
12-11-2016	68
13-11-2016	70
14-11-2016	66
15-11-2016	44
19-11-2016	54
20-11-2016	27
21-11-2016	49
22-11-2016	59
23-11-2016	53
24-11-2016	44
25-11-2016	58
26-11-2016	61
27-11-2016	25
28-11-2016	71
29-11-2016	64
30-11-2016	58
01-12-2016	31
02-12-2016	50
03-12-2016	60
04-12-2016	58
05-12-2016	53
06-12-2016	60
07-12-2016	56
08-12-2016	65
09-12-2016	48
10-12-2016	37
11-12-2016	40
12-12-2016	74
13-12-2016	59
14-12-2016	63
15-12-2016	45
16-12-2016	60
17-12-2016	47
18-12-2016	46
19-12-2016	49
20-12-2016	38
21-12-2016	42
22-12-2016	48
23-12-2016	52
24-12-2016	37
25-12-2016	32
26-12-2016	22
27-12-2016	34
28-12-2016	39
29-12-2016	57
30-12-2016	55
31-12-2016	51
